Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
,,,
,,2022-2023,
123,AUTOCROLA INDIA LTD,1,1
124,AUTOECO GREEN ENERGY PVT LTD,132,132
125,AUTOHAUS PRIVATE LIMITED,378,378
126,AUTOLITE (INDIA) LIMITED,54,54
127,AUTOMOBILI LAMBORGHINI S.P.A,71,71
128,A.V.AUTOMOTIVES PVT LTD,"1,552","1,552"
129,AVL ELECTRIC VEHICLES PVT LTD,"1,854","1,854"
130,AVON CYCLE LTD INDIA,53,53
131,AVON CYCLES LTD,861,861
132,AVTAR ENGINEERING WORKS,25,25
133,AWACHAT INDUSTRIES LTD,"1,260","1,260"
134,AYAAN ELECTRONIC PVT LTD,167,167
135,BABA E RICKSHAW & C BATTERIES,1,1
136,BABA E-VEHICLES,548,548
137,BABA HARI DAS FABRICATION,2,2
138,BABA PRODUCT,31,31
139,BAGESWAR ENGG WORKS,2,2
140,BAGHWAN RIKSHAW UDYOG,3,3
141,BAJAJ AUTO LTD,"19,68,811","19,68,811"
142,BAJAJ IMPLEMENTS PVT. LTD,325,325
143,BAJAJ TEMPO LIMITED,1,1
144,BAJRANG AGRO INDUSTRIES,1,1
145,BAL AGRO INDUSTRIES,27,27
146,BALAJEE ENGINEERING,4,4
147,BALAJI AGRO INDUSTRIES,57,57
148,BALAN ENGINEERING PVT LTD,107,107
149,BALBIR INDUSTRIES,11,11
150,BAL GOPAL WHEELS PVT LTD,60,60
151,BALI AUTO INDUSTRIES,336,336
152,BALJEET ENGG. WORKS,22,22
153,BALJEET KRISHI YANTRA,3,3
154,BANKU BODY BUILDER,8,8
155,"BASUDEB ENGINEERING, CUTTACK",31,31
156,BATTRE ELECTRIC MOBLITY PVT LTD,896,896
157,"BAUTI ENGINEERING,NAYAGARH",7,7
158,BEML LIMITED,4,4
159,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,"11,018","11,018"
160,BENTINCK INDUSTRIES PVT. LTD.,327,327
161,BENTLEY MOTORS LIMITED,36,36
162,BEST WAY AGENCIES PVT LTD,"5,883","5,883"
163,BESTWAY AGENCIES PVT LTD,170,170
164,BESTWAY BANARASH,8,8
165,BGAUSS AUTO PRIVATE LIMITED,"4,147","4,147"
166,BHADAURIA ENTERPRISES,12,12
167,BHAGWAN AGRO INDUSTRIES,41,41
168,BHAGYALAXMI TRAILER,4,4
169,BHARATH AGRO PRODUCTS,7,7
170,BHARATH ENGINEERING WORKS,17,17
171,BHARAT MANUFACTURING & ASSEMBLING E RIKSHA,2,2
172,BHARAT MOTORS,4,4
173,BHARAT PUMP COMP. LTD,1,1
174,BHAVE ELECTRIC VEHICLES PVT LTD,"1,893","1,893"
175,BHM INDUSTRIES,"1,139","1,139"
176,BHOYAR AGRO IND WARDHA,59,59
177,BIDISHA ENTERPRISES PVT LTD,20,20
