Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
,,,
,,2022-2023,
529,JEEP CHEROKEE,2,2
530,JEET AGRO INDUSTRIES,15,15
531,JESSUN TECHNO PVT LTD,152,152
532,JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),119,119
533,JIANGSU DALONG (IMPORTER: ENGTIAN ELECTRIC),3,3
534,JIANGSU DALONG (IMPORTER:TYLOS ELECTRIC VEHICLES),6,6
535,JIANGSU GUOWEI (IMPORTER: REVEAL ELECTRIC),1,1
536,JIANGSU SUNHOU (IMPORTER: SABOO TOR),4,4
537,JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),63,63
538,JIANGSU XINRI (IMPORTER: NISIKI TECHNOLOGIES),12,12
539,JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),802,802
540,JINING HENGWANG CONSTRUCTION MACHINERY CO. LTD,1,1
541,JITENDRA NEW EV-TECH PVT. LTD,"8,626","8,626"
542,JITENDRA TEMPO PARTS,670,670
543,JIWAN AGRICULTURAL IMPLEMENTS WORKSHOP CIS LTD,11,11
544,JIWAN AGRI IMPLEMENTS WORKSHOP,1,1
545,J K AGRO INDUSTRIES,26,26
546,J K AMO-PAPERS & CO,1,1
547,JOHN DEERE INDIA PVT LTD(CROP SOLUTION DIV),66,66
548,JOHN DEERE INDIA  PVT LTD(TRACTOR DEVISION),"65,419","65,419"
549,JOHNSON TRACTORS & MOTORS PVT. LTD.,1,1
550,JOYRAM STEEL FABRICATION WORKS,9,9
551,J P AUTO TECH,95,95
552,JP INDUSTRIES,6,6
553,J S AGRO INDUSTRIES,92,92
554,J. S. AUTO (P) LTD,"9,443","9,443"
555,J S MOBILEON PVT LTD,13,13
556,JS MOBILEON PVT LTD,530,530
557,JSW MG MOTOR INDIA PVT LTD,"41,865","41,865"
558,JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),32,32
559,JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),73,73
560,JUNENG MOTORCYCLE TECH. (IMPORTER: DELTA AUTOCORP),3,3
561,KABIRA MOBILITY LLP,179,179
562,KABMAX ELECTRIC AUTOMOBILES PVT. LTD,400,400
563,KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),4,4
564,KALIKA VAHAN PVT LTD,2,2
565,"KALINGA AGRO INDUSTRIES ,PIPILI,PURI.",4,4
566,KALINGA VENTURES INDIA PVT LTD,99,99
567,KALMER INDUSTRIES,4,4
568,KALPVRIKSH ELECTOMOBILES CO,143,143
569,KALYANI AGRO IMPLIMENTS,5,5
570,KAMAL AGRO INDUSTRIES,3,3
571,KAMAZ INDUSTRIES,92,92
572,KAPTECH INDIA PVT LTD,"1,544","1,544"
573,KARBRO AGRO TECH,2,2
574,KARMA MECHANICAL WORKS,28,28
575,KARTAR AGRO INDUSTRIES PVT LTD,"1,212","1,212"
576,KARTAR TRACTORS PRIVATE LIMITED,95,95
577,KAWASAKI HEAVY INDUSTRIES LTD,5,5
578,KCAS ELECTRIC VEHICLES PVT LTD,91,91
579,K D AGRO INDUSTRIES,21,21
580,KERALA AUTOMOBILES LIMITED,45,45
581,KESAR ROAD EQUIPMENTS(I) PVT LTD,1,1
582,KETO MOTORS PVT LTD,238,238
583,KGN,395,395
584,KGN INDUSTRIES,153,153
585,"KHAGESWAR AUTO BUILD WORKS,HALADIAPADAR,BERHAMPUR,GANJAM",22,22
586,KHALSA  AGRO INDUSTRIES,51,51
587,KHALSAE-VEHICLES PVT LTD,"4,564","4,564"
588,KHAN ENGINEERING WORKS,31,31
589,KHEMRAJ AUTOMOTIVE INDUSTRIES,2,2
590,KHUSHI AGRO ENGINEERING,8,8
591,KIA INDIA PRIVATE LIMITED,"2,35,464","2,35,464"
592,KIA MOTORS CORPN,2,2
593,KINETIC GREEN ENERGY & POWER SOLUTIONS LTD,"9,159","9,159"
594,KINETIC GREEN ENERGY P SOL LTD,375,375
595,KINETIC MOTOR COMPANY LIMITED,1,1
596,KION BAOLI (JIANGSU) FORKLIFT CO.LTD,1,1
597,KION INDIA PVT LTD,782,782
598,KIRAN AUTOMOBILE INDUSTRY,31,31
599,KIRTI SOLAR LTD,47,47
600,KISAN ENGINEERING,8,8
601,KISAN ENGINEERING WORKS,50,50
602,KISSAN AGRO INDUSTRIES,20,20
603,KISSNA ENGG WORKS,7,7
604,KK INDUSTRIES,1,1
605,KLB KOMAKI PVT LTD,"3,798","3,798"
606,KOBELCO LTD.,3,3
607,KOMATSU INDIA PRIVATE LIMITED,1,1
608,KOMATSU LTD JAPAN,14,14
609,KONE CRANE SWEDEN,1,1
610,KPT INDUSTRIES LTD,9,9
611,KPT MOTORS,23,23
612,KRISHI ENGINEERING WORKS,3,3
613,KRISHNA AGRO ENGI,25,25
614,KRISHNA ENGINEERING WORKS,691,691
615,KRISHNA INDUSTRIES,57,57
616,KRISHNA VEHICALS,269,269
617,KRUP P,2,2
618,KRUSHI KISAN TRAILORS,2,2
619,K S AGRICULTURAL  INDUSTRIES,5,5
620,K.S. AGRICULTURAL INDUSTRIES PVT. LTD,190,190
621,K.S. AGROTECH  PVT LTD,73,73
622,K T ENTERPRISES,279,279
623,KTM MOTORRAD AG,1,1
624,KUBOTA AGRICULTURAL MACHINERY INDIA PVT.LTD.,"20,771","20,771"
625,KUKU AUTOMOTIVES,385,385
626,KULAR AGRO WORKS,39,39
627,KUMARAN ENGINEERING ENTERPRISES,7,7
628,KUMAR ENGINEERING,"1,484","1,484"
629,KUSHAL AGRO IND,1,1
630,K. V. INDUSTRIES,16,16
631,KYTE ENERGY PVT. LTD.,82,82
632,LAKSHMI AUTO TRADERS,9,9
633,LAKSHMI MOTORS,8,8
634,LAKSHYA AUTO SALES CORPORATION,167,167
635,LAKSHYA MOTORS,9,9
636,LAL AGRO INDUSTRIES,4,4
637,LAL CHAND AGRICULTURE WORKS,9,9
638,LAMBORGHINI,2,2
639,LAWAT MOTORS LLP,341,341
640,LAXMI ENGINEERING WORKS,8,8
641,LAXMI E-RICKSHAW COMPANY,4,4
642,"LAXMI GOBINDA AGRO IND,BLS",16,16
643,L B AGRO PRODUCTS,83,83
644,LECTRIX E VEHICLES PVT LTD,"8,111","8,111"
645,LEEBOY INDIA,1,1
646,LIEBHERR,21,21
647,LIEBHERR INDIA PVT LTD,32,32
648,LINDE,1,1
649,LIUGONG INDIA PVT. LTD,730,730
650,LIUGONG IND PVT LTD,15,15
651,LML LIMITED,4,4
652,LOCAL TRAILER MANUFACTURER,"46,698","46,698"
653,LOHIA AUTO INDUSTRIES,"1,716","1,716"
654,LOHIA AUTO INDUSTRIES LTD.,209,209
655,LORDS VEHICLE MFG PVT LTD,147,147
656,LOTAY AGRO TECH,10,10
657,LOTEY AGRICULTURE WORKS,15,15
658,LOTEY INDUSTRY,4,4
659,LOTUS CARS,1,1
660,LOVEJEET AGRO INDUSTRY,37,37
661,L & T CASE EQUIPMENT PVT LTD,37,37
662,L&T CONSTRUCTION EQUIPMENT LIMITED,336,336
663,L&T CONSTRUCTION MACHINERY LIMITED,1,1
664,M2GO ELECTRIC VEHICLE PVT LTD,5,5
665,M2J E VAHAN PVT LTD,32,32
666,MAA ADISHAKTI ENGINEERING,5,5
667,MAA ENGINEERING TRAILOR,124,124
668,MAA JAGADHATRI ENGINEERING WORKS,1,1
669,MAA KALPANA ENTERPRISE,32,32
670,MAA LUXMI E-VEHICLES PVT. LTD.,21,21
671,"MAA MANGALA ENGG,CTC",8,8
672,"MAA MANGALA ENTERPRISES,SNG",21,21
673,"MAA MANGALA MOTORS & ENGG,RKL",23,23
674,MAA SANTOSHI ENGG  KALAHANDI,3,3
675,MAA SHAKTI EXIM PVT LTD,"3,007","3,007"
676,MAA TARINI ENGINEERING,33,33
677,MAC AUTO INDIA,314,314
678,MAC INTERNATIONAL (IMPORTER: SEEKA E MOTORS),2,2
679,MACNEILL ENGINEERING LIMITED,1,1
680,MACONS EQUIPMENTS PVT LTD,12,12
681,MADHO AGRO INDUSTRY,3,3
682,MADHU AUTOMOBILES LTD,20,20
683,"MADHUSUDAN ENG.WORKS,NIMAPADA",1,1
684,MAHABIR INDUSTRIES,20,20
685,MAHAVIR AGRO EQUIPMENTS,3,3
686,MAHAVIR TRACTOR AND IMPLEMENTS,47,47
687,MAHESH ENGINEERING WORKS,7,7
688,MAHI ENTERPRISES,101,101
689,MAHINDRA DEFENCE SYSTEMS LTD,35,35
690,MAHINDRA ELECTRIC MOBILITY LIMITED,"17,399","17,399"
691,MAHINDRA GUJARAT TRACTOR LIMITED,8,8
692,MAHINDRA & MAHINDRA LIMITED,"6,01,695","6,01,695"
693,MAHINDRA & MAHINDRA LIMITED (SWARAJ DIVISION),"1,28,772","1,28,772"
694,MAHINDRA & MAHINDRA LIMITED (TRACTOR),"1,76,855","1,76,855"
695,MAHINDRA & MAHINDRA LTD FARM MACHINERY DIVISION,13,13
696,MAHINDRA TWO WHEELERS LTD,7,7
697,MAHINDRA VEHICLE MANUFACTURER LIMITED,2,2
698,MAHTAB BODY MAKER,292,292
699,MAJESTIC AUTO LTD,1,1
700,MALI ENTERPRISES PVT LTD,109,109
701,MALIK ENGINEERING WORKS,11,11
702,MALKIT AGRO TECH PVT. LTD,543,543
703,MANISH EV INTERNATIONAL PRIVATE LIMITED,233,233
704,MANITA CITY MOTORS LLP,"1,043","1,043"
705,MANITOU EQUIPMENT INDIA PVT LTD,403,403
706,MANITOWOC INDIA LIMITED,1,1
707,MANJIT AGRO WORKS,2,2
708,MANKU AGRO TECH PVT LTD,"1,495","1,495"
709,MANKU AGRO TECH. PVT. LTD.,31,31
710,MANMOHAN KAUR,39,39
711,MANPREET AGRO INDUSTIRES NABHA,1,1
712,MANPREET AGRO INDUSTRIES,17,17
713,MAN TRUCKS INDIA PVT. LTD.,3,3
714,MARATHWADA KRUSHI UDYOG,1,1
715,MARATHWADA QUALITY TRAILER,65,65
716,MARINE NAVAIDS & SOLAR AUTO PVT LTD,14,14
717,MARKUS,5,5
718,MARSHAL TRACTOR & FARM EQUIPMENTS,1,1
719,MARTHWADA TRALIOR,17,17
720,MARUTHISAN PVT LTD,120,120
721,MARUTI INDUSTRIES,2,2
722,MARUTI SUZUKI INDIA LTD,"15,31,862","15,31,862"
723,MARUTI UDYOG LTD,415,415
724,MASERATI S.P.A,23,23
725,MASSEY FERGUSON LTD,278,278
726,MATHAROO BROTHERS AGRO TECH PVT LTD,3,3
727,MATHARU AGRO TECH,2,2
728,MATHARU ENGINEERING AGRI WORKS,30,30
729,MATHARU ENGINEERING WORKS,25,25
730,MAULIRAJ INDUSTRIES LLP,2,2
731,"MAYUR ENTERPRISES,BARIPADA",52,52
732,MB AGRO INDUSTRIES,7,7
733,MCLAREN AUTOMOTIVE (IMPORTER: INFINITY CARS),11,11
734,MECPOWER MOBILITY PVT. LTD.,1,1
735,MEHAR AGRO ENGINEERING,6,6
736,MEHER FABRIC WORKS,5,5
737,MEHER TRAILERS PVT LTD,35,35
738,MERCEDES -BENZ AG,556,556
739,MERCEDES-BENZ INDIA PVT LTD,"13,883","13,883"
740,MEW ELECTRICALS LIMITED,"2,112","2,112"
741,MG AUTOMOTIVES (BUS & COACH) PVT LTD,2,2
742,M G INDUSTRIES,79,79
743,M H AGRICULTURE WORKS,16,16
744,MIC INDUSTRIES INC,3,3
745,MICROAUTOTECH PVT. LTD.,1,1
746,MINI METRO,412,412
747,MINI METRO EV L.L.P,"12,176","12,176"
748,MINSK TRACTOR (IMPORTER: ERISHA AGRITECH),20,20
749,MIRAKLE 5 AUTOMOBILES PVT LTD,45,45
750,MITSUBISHI MOTORS CORPORATION,6,6
751,M K BROTHERS,3,3
752,M.K. ENTERPRISES,531,531
753,MLR AUTO LTD,"1,334","1,334"
754,MLR MOTORS PVT LTD,2,2
755,MODERN  AGRO  INDUSTRIES,5,5
756,MOHAN GENERAL TRADING COMPANY,16,16
757,MOHIT INDUSTRIES,2,2
758,MONDAL TRADING,4,4
759,MOON AGRICULTURE & FABRICATION WORKS,3,3
760,MOTOROYALE KINETIC PRIVATE LIMITED,2,2
761,MOTRAC MOTORS PVT LTD,6,6
762,MOVE STONE SERVICES PVT LTD,"1,175","1,175"
763,M S AGRO INDUSTRIES,58,58
764,"M/S AJAY ENGINEERING WORKS EQUIPMENTS PVT LTD ,SAMBALPUR",31,31
765,M/S ASHOKA INDUSTRIES,22,22
766,M/S BHARAT TRAILERS,151,151
767,"M/S CHUDHURY ENGG. WORKS,BAMRA,SAMBALPUR",1,1
768,"M/S FARMAX EQUIPMENTS, SAMBALPUR",3,3
769,"M/S. GURUMAN ENTERPRISES, BHAWANIPATNA",1,1
770,M/S HOTA AGRO (TRAILER),13,13
771,M/S JASRAJ AUTO AGENCY,17,17
772,M/S KASTKAR AGRO INDUSTRIES,62,62
773,M/S KISHAN TRACTOR,2,2
774,M/S K K AGRO INDUSTRIES,24,24
775,M/S LAKSHMI ENGINEERING WORKS,4,4
776,M/S LOHIYA AGRO INDUSTRIES,14,14
777,M/S MAA MANGALA INDUSTRIES,58,58
778,M/S MAA MOTORS WORKSHOP,2,2
779,M/S NATIONAL STEEL AND WIRE PRODUCTS SAMBALPUR,4,4
780,M/S NELATARA FABRICATION,1,1
781,M/S NEW SHETKARI ENGINEERING WORK,46,46
782,M/S NEW SHIV SHAKTI TRAILORS,9,9
783,"M/S PATEL & SONS ENGINEERING WORKS,SAMBALPUR",11,11
784,M/S POWER TECH TECHNOLOGY,5,5
785,M/S RAM AGRO MACHINARY,36,36
786,M/S R.K. ENGINEERING WORKS,5,5
787,M/S SAI AUTO ENGINEERING WORKS,11,11
788,M/S. SANJUKTA AGRO MART,5,5
789,M/S SARANGI MOTROS,151,151
790,M/S SCHWING STETTER (INDIA) PRIVATE LIMITED,699,699
791,M/S-SHRADHA INDUSTRIES,21,21
792,M/S SHREE SHYAM AGRO PRODUCTS,6,6
793,M/S SHRI DATTA WELDING WORKS,4,4
794,M/S SHRIRAM AUTO TECH PVT LTD,"2,843","2,843"
795,M/S SHUBHADA ENTERPRISE,1,1
796,"M/S.SOURAV ENTERPRISES,BHAWANIPATNA",1,1
797,M/S SRI BALAKRISHNA FOUNDRY&MECH WORKS AP178701111,1,1
798,"M/S SRI LAKSHMI GANAPATHI ENG WORKS,EG AP514553750",1,1
799,M/S SRISHTI AUTOMOBILES,3,3
800,M/S S.S. AGRO INDUSTRIES,1,1
801,"M/S SUBHAM ENGINEERING WORKSHOP, BALIAPAL, BALASORE",52,52
802,M/S SUPERIOR MANUFACTURING COMPANY,38,38
803,"M/S. VENKAT ENGINEERING WORKS, JAIPATNA",10,10
804,M/S VISHNU CLEAN ENERGY VEHICLES LLP,14,14
805,M/S YOGIRAJ ENGINEERING COMPANY,3,3
806,MULTI DIMENSIONAL SOLUTIONS,3,3
807,MUNDE MECHANICAL WORKS,37,37
808,MV AGUSTA INDIA PVT LTD,1,1
809,MVM MOTORS PRIVATE LIMITED,1,1
810,MYTRAH MOBILITY PVT LTD,55,55
811,N0VA AUTOMOTIVE TECHNOLOGIES PVT. LTD,"2,497","2,497"
812,NABHKIRAN AGRO INDUSTRIES,8,8
813,NABH MOTORS PVT LTD,11,11
814,NABINA WELDING,1,1
815,"NAIK TROLLEY AND IMPL,SNG",357,357
816,"NAIK TROLLEY&IMPLS,BHEDABAHAL",8,8
817,NAMAH INDUSTRIES PVT LTD,2,2
818,NARENDRA INDUSTRIES,1,1
819,NARINDERA AGRO WORKS,18,18
820,NAZAR SINGH & SONS,20,20
821,NBC ENGINEERING PVT LTD,1,1
822,NDS ECO MOTORS PVT LTD,15,15
823,NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,623,623
824,NEELAM CYCLE,13,13
825,NEELKANTH FABRICATORS PVT LTD,1,1
826,NEUON MOTORS LLP,6,6
827,NEW ARCANA INDIA,"1,449","1,449"
828,NEW DEVE AGRO WORKS,40,40
829,NEW DURGA ENGINEERING,10,10
830,NEW FRIENDS INDUSTRIES,3,3
831,NEW GAHIR AGRO INDUSTRIES,63,63
832,NEW GOLDEN AGRICULTURE,4,4
833,NEW GURDIAL AGRO INDUSTRIES,5,5
834,NEW GURDIAL AGRO INDUSTRIES PVT LTD,134,134
835,NEW HIND AGRO PVT LTD,18,18
836,NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT.LTD.,15,15
837,NEW HOLLAND FIAT INDIA PVT. LTD.,809,809
838,NEW JANTA QUALITY TRAILOR,3,3
839,NEW KISAN ENGINEERING WORKS,9,9
840,NEW MALLIKARJUNA ENG WORKS,768,768
841,NEW MARTHWADA QUALITY TRAILOR,27,27
842,NEW SANGMESHWAR TRAILORS & ENGINEERING WORKS,1,1
843,NEW SUPER QUALITY TRAILOR,81,81
844,NEWTON INDIA INDUSTRIES PVT LTD,10,10
845,NGAGE WHEEL PVT LTD,3,3
846,NHD MOTORS,296,296
847,NIBE MOTORS PVT LTD,4,4
848,NIKHIL AGRO ENTERPRISE,2,2
849,NINGBO LONGJIA (IMPORTER: ADISHWAR AUTO),263,263
850,NIPUN SANYANTRA PVT LTD,544,544
851,NIRMAL BROTHER,44,44
852,NIRMAL UTILITY SERVICES PVT LTD,55,55
853,NISIKI TECHNOLOGIES PVT LTD,168,168
854,NISSAN MOTOR INDIA PVT LTD,"30,386","30,386"
855,N K INDUSTRIES,95,95
856,NRJ ELECTRIC MOTOR VEHICLES PVT LTD,"1,537","1,537"
857,N S AGRO WORKS,1,1
858,N.S. AGRO WORKS,29,29
859,NUMEROS MOTORS PVT LTD,457,457
860,ODYSSE ELECTRIC VEHICLES PVT LTD,291,291
861,OGATA MOTORS INDIA PVT LTD,158,158
862,OIL FIELD WAREHOUSE AND SERVICE LIMITED,3,3
863,OKAYA EV PVT LTD,"13,176","13,176"
864,OKINAWA AUTOTECH PVT LTD,"95,937","95,937"
865,OK PLAY INDIA LTD,88,88
866,OLA ELECTRIC TECHNOLOGIES PVT LTD,"1,52,805","1,52,805"
867,OLECTRA GREENTECH LTD,445,445
868,OM BALAJEE AUTOMOBILE ( INDIA) PVT. LTD,"3,243","3,243"
869,OM BALAJI AUTOMOBILES I P LTD,23,23
870,OMEGA CONSTRUCTION EQUIPMENT PVT LTD,23,23
871,OMEGA SALES & AGRO INDUSTRIES,126,126
872,OMEGA SEIKI PVT LTD,"3,504","3,504"
873,OMJAY EV LIMITED,178,178
874,OMKAR  INDUSTRIES,8,8
875,OM PACKAGING,14,14
876,OM RAJ AUTOTECH LLP,"1,116","1,116"
877,OM SHREE SAI ENGINEERING,91,91
878,"OM TRAILORES,LATUR",1,1
879,"OM VINAYAK INDUSTRIES,BGH",5,5
880,ORDINANCE FACTORY,115,115
881,OTHERS,"1,41,139","1,41,139"
882,OZOTEC AUTOMOBILE PRIVATE LIMITED,224,224
883,PAARTH SARTHI AUTOMOTIVE ENGINEERS PVT LTD,11,11
884,PACE AGRO PRIVATE LIMITED,50,50
885,PADMAVATI ENGINEERING WORKS,3,3
886,PANESAR AGRICULTURE INDUSTRIES,7,7
887,PANESAR AGRO TECH,78,78
888,PANKAJ ENGINEERING WORKS,1,1
889,PANTHER ELECTRIC VEHICLES,69,69
890,PARAG AGRO,7,7
891,PARAMOUNT AUTOMOTIVES,50,50
892,PARAS INDUSTRIES,"1,474","1,474"
893,PARDEEP AGRO INDUSTRIES,20,20
894,PARI E-VEHICLES,578,578
895,PARI METRO E RICKSHAW,802,802
896,PARVEEN AUTO,1,1
897,PASHUPATI VEHICLES PVT LTD,1,1
898,PATEL INDUSTRIES,7,7
899,PATS MOTOR CORP,22,22
900,PAUL INDUSTRIES,8,8
901,PAUNIYA TRACTORS AND FARM EQUIPMENT PVT LTD,6,6
902,PAVITHRA ENGINEERING WORKS,2,2
903,P B NATIONAL AGRICULTURE WORKS,2,2
904,PCA AUTOMOBILES INDIA PVT LTD,"5,991","5,991"
905,PEUGEOT LTD,1,1
906,PIAGGIO VEHICLES PVT LTD,"1,12,395","1,12,395"
907,PI BEAM LABS PRIVATE LIMITED,1,1
908,P KHARKONGOR STEEL FABRICATION,1,1
909,PLAUDIT TECHNO INDIA PVT LTD,18,18
910,P M DIESELS PVT LTD,88,88
911,PMI ELECTRO MOBILITY SOLUTIONS PRIVATE LIMITED,654,654
912,POLARIS INDIA PVT LTD,142,142
913,POLYHOSE INDIA PRIVATE LIMITED - C E DIVISION,3,3
914,POOJA INDUSTRIES,1,1
915,POOSHPAK AUTOMOBILES PVT LTD,5,5
916,PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),81,81
917,PORSCHE AG,2,2
918,PORSCHE AG GERMANY,710,710
919,PRAAKARM AUTO & CONSTRUCTION EQUIPMENTS,55,55
920,PRABHA AUTOMOTIVE ENGINEERS PVT LTD,5,5
921,PRAGATI ENGINEERING,32,32
922,PRAG MOTORS,64,64
923,PRAKASH ENTERPRISES,48,48
924,PRAKASH METAL,6,6
925,PRAKASH TRAILER,33,33
926,PRASAD AGRICULTURAL PRODUCT,1,1
927,PRASAD AND PRASAD ENG,7,7
928,PREEET AGRO INDUSTRIES PVT LTD,36,36
929,PREET AGRO INDUSTRIES PVT LTD,703,703
930,PREET TRACTORS PVT LTD,"3,606","3,606"
931,PREET TRACTORS PVT. LTD.,141,141
932,PRIDE E-MOTORS,421,421
933,PRINCE AGRO WORKS,18,18
934,PRINCE ENGINEERING WORKS,1,1
935,PROPEL INDUSTRIES PVT. LTD.,2,2
936,PUBANG ETRON ELECTRIC MOTOR PVT LTD,88,88
937,PUJA ENGINEERING WORKS,1,1
938,PUNEET OVERSEAS  INC,12,12
939,PUNJAB AGRICULTURE WORKS,2,2
940,PUNJAB AGRO IMPLEMENTS INDUSTRIES,26,26
941,PUNJAB AGRO INDUSTRIES,2,2
942,PUNJAB AGRO INDUSTRIES (TRAILER),1,1
943,PUNJAB ENGINEERING COMPANY,35,35
944,PUNJAB HI-TECH INDUSTRIES,24,24
945,PUNJAB TRACTORS LIMITED,37,37
946,PUR ENERGY PVT LTD,"11,557","11,557"
947,PURVA UDYOG PVT LTD,40,40
948,PUSHKAR INDUSTRIES,89,89
949,PYTHOX MOTORS PVT LTD,144,144
950,QIANJIANG-KEEWAY (IMPORTER: ADISHWAR AUTO),364,364
951,QUALITY ENGINEERING WORK,25,25
952,QUANTUM ENERGY LTD.,122,122
953,R3 ENTERPRISES,195,195
954,RACCOON MOTORS PVT LTD,22,22
955,RADHESHYAM TRAILOR,97,97
956,RAHUL AGRO EXPORTS PVT LTD,56,56
957,"RAJA RANEE AGRO E WORKS,ANGL",6,6
958,RAJ AUTOMOTIVE,107,107
959,RAJESH STEEL AND WIRE INDUSTRIES,31,31
960,RAMA ENGINEERING WORKS,6,6
961,RAM AGRO INDUSTRIES,34,34
962,RAMAN AGRO INDUSTRIES,1,1
963,RAM CHANDER & SONS,2,2
964,RAM CHAND & SONS,30,30
965,RAMGARHIA ENGG WORKS,25,25
966,RAMJI AGRO INDUSTRIES,8,8
967,RAM JI ENGINEERING WORKS,5,5
968,RAMON INDUSTRIES,84,84
969,RANA ENGINEER WORKS,93,93
970,RASANDIK ENGINEERING INDUSTRIES INDIA LTD,59,59
971,RASANDIK MOTORS PVT LTD,2,2
972,"RASHMI AUTOMOBILES, NUAPADA",2,2
973,RASIWASIA RASAYAN PVT LTD,6,6
974,RATAN ENGINEERING WORKS,15,15
975,RATNA ENGINEERING ENTERPRISES,10,10
976,RAVINDRA AGRO WORKS,7,7
977,RAYON ENGINEERS,448,448
978,R B INDUSTRIES,2,2
979,RCJ AUTO FORGE PVT LTD,339,339
980,RD AND CO,9,9
981,REEP INDUSTRIES PVT LTD,319,319
982,REFLEX CONTROL SYSTEM PVT .LTD,85,85
983,RENAULT INDIA PVT LTD,"75,433","75,433"
984,REPUBLIC MOTORS,63,63
985,REVOLT INTELLICORP PVT LTD,"12,932","12,932"
986,RGM BUSINESS PLUS PVT LTD,"1,454","1,454"
987,RIBAND ELECTRIC PVT LTD,310,310
988,RIYA ENTERPRISE,44,44
989,"RK ENGG WORKS,JUNAGARH",13,13
990,RK TRACTOR,23,23
991,R.K.TRAILORS,3,3
992,R M PANCHAL,3,3
993,R.N.GUPTA & CO LTD,4,4
994,ROARLEO MOTOR PVT LTD,194,194
995,ROLLS ROYCE,16,16
996,ROLLS-ROYCE MOTOR CARS(IMPORTER:SELECT CARS P LTD),3,3
997,ROLLS ROYCE MOTOR (IMPORTER: KUN MOTOR),12,12
998,ROOPRAI AGRO INDUSTRIES,3,3
999,ROVER COMPANY,1,1
1000,ROWWET MOBILITY PVT LTD,127,127
1001,ROYAL-ENFIELD (UNIT OF EICHER LTD),"6,98,223","6,98,223"
1002,ROYAL TRACTOR PVT LTD,3,3
1003,RSB AGRO INDUSTRIES,3,3
1004,RSD SECURITY SOLUTIONS PVT LTD,1,1
1005,RUDRA AUTO INDUSTRIES,1,1
1006,RUDRANARAYAN ENGG WORKS BOUDH,3,3
1007,RUPAL AGRO INDUSTRIES,32,32
1008,RUTBA PRODUCT PVT LTD,562,562
1009,SACHITANAND ENGINEERING WORKS,8,8
1010,SADGURU TRAILER & AGRI EQUIP,48,48
1011,SAERA ELECTRIC AUTO PVT LTD,"22,259","22,259"
1012,SAGAR AGRO STEEL INDUSTRIES,108,108
1013,SAGAR FABRICATIONS,21,21
1014,SAGAR INDUSTRIES,9,9
1015,SAHARA TRALIORS,9,9
1016,SAHKAR AGRO IND,3,3
1017,SAHNIANAND E VEHICLES PVT LTD,"2,107","2,107"
1018,SAHU INDUSTRIES,22,22
1019,SAI BABA FABRICATION,25,25
1020,SAI ENGINEERING AND WELDING WORKS,64,64
1021,"SAI KRIPA ENG WORKS, HALADIAPADAR,BERHAMPUR,GANJAM",5,5
1022,"SAI KRUPA ENGG WORKS,BHMPUR",6,6
1023,SAINIK CYCLE MART,133,133
1024,SAI SAMEER POWER ELECTRIC VEHICLES PVT LTD,10,10
1025,SAI TRAILERS,14,14
1026,SAJEDA ENGINEERING BHAWANIPATNA,12,12
1027,SAKSHAM TECH AUTOMOBILES,247,247
1028,SAKSHAM TRADING COMPANY,17,17
1029,SAMALESWARI ENGG WORKS,7,7
1030,"SAMAL FABRICATOR,BARCHANA",19,19
1031,SAME DEUTZ - FAHR INDIA (P) LTD.,"1,253","1,253"
1032,SAMRAT ELECTRIC VEHICLE,434,434
1033,SANDHU AGRO INDUSTRIES,3,3
1034,S AND J INDUSTRIES,191,191
1035,"S AND S ENGG WORKS,BGH",2,2
1036,SANJAY TRAILORS,5,5
1037,SANJIV TRAILOR MURGOD,10,10
1038,SANSAR COMBINE,10,10
1039,SANTOSH ENGG WORKS,100,100
1040,SANY HEAVY INDUSTRY INDIA PVT LTD,295,295
1041,SANY HEAVY INT. LTD. PR C,2,2
1042,SANY INDIA,26,26
1043,SARALA ENTERPRISES CUTTACK,2,2
1044,SARANGI MOTORS TRAILER SNG,1,1
1045,"SARASWATI AGRO INDUSTRIES,CTC",28,28
1046,SARAVANA ENGINEERING WORKS,1,1
1047,SAROOP AGRO INDUSTRIES,7,7
1048,SARSWATI AGRO CO.,3,3
1049,SAS MOTORS LTD.,1,1
1050,"SATAPATHY AGENCIES, BERHAMPUR",1,1
1051,SATHI MOTORS ELECTRIC VEHICLE PVT LTD,"1,484","1,484"
1052,SATKARTAR AGRO WORKS,5,5
1053,SATNAM ENGG WORKS,22,22
1054,SATRAC ENGINEERING PVT LTD,378,378
1055,SATYANARAYANA ENGG.WORKS,20,20
1056,"SATYASAI INDUSTRIES,DHENKANAL",4,4
1057,SAURYAA SHARYO CORPORATION,4,4
1058,SAYA AGRO INDUSTRIES,21,21
1059,SBTEK E MOTO PVT LTD,18,18
1060,S B TRADERS,3,3
