Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
,,,
,,2023-2024,
1,3EV INDUSTRIES PVT LTD,476,476
2,3S INDUSTRIES PRIVATE LIMITED,491,491
3,A1 HEAVY EQUIPMENTS DEVELOPER,25,25
4,A-1 SUREJA INDUSTRIES,2,2
5,AADHYA ENTERPRISES,813,813
6,AADITYA EMOTORS INDIA PVT LTD,1,1
7,AADITYA GARBAGE PRODUCTS PVT LTD,28,28
8,AAHANA COMMERCE PVT LTD,"1,125","1,125"
9,AARGEE ELECTRIC,18,18
10,AARON INDUSTRIES,9,9
11,A B EXCAVATORS & EARTHMOVERS PVT LTD,1,1
12,AB N DHRUV AUTOCRAFT (INDIA) PVT LTD,1,1
13,ABZO MOTORS PVT LTD,29,29
14,ACCRETION POWER AUTOS,590,590
15,ACTION CONSTRUCTION EQUIPMENT LTD.,"9,716","9,716"
16,A D AGRO WORKS,110,110
17,ADAPT MOTORS PVT LTD,4,4
18,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,"2,770","2,770"
19,ADIDEV TECHNOA PVT LTD,913,913
20,ADISHAKTI TRACTORS,8,8
21,ADISHWAR AUTO RIDE INDIA PVT LTD,314,314
22,ADITYA AGRO INDUSTRIES,75,75
23,ADITYA ENTERPRISES,2,2
24,ADITYA SAI INDUSTRIES,210,210
25,ADM TECHNOLOGIES PVT. LTD.,175,175
26,ADRIS ELECTRIC PVT LTD,16,16
27,AFTEK MOTORS INDIA PVT LTD,91,91
28,"AFZAL ENGG WORKS,JUNAGARH",2,2
29,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,79,79
30,AGRO INDUSTRIES,128,128
31,AHITESHAM AGRO ENGINEERING,5,5
32,AHMED MOTORS,48,48
33,AJANTA KRUSHI YANTRA,62,62
34,AJAX ENGINEERING LTD,"4,009","4,009"
35,AJAX FIORI ENGINEERING PVT LTD,5,5
36,"AJAY AGRO ENTERPRISES,SBP",4,4
37,AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,1,1
38,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,8,8
39,AJAY ENTERPRISES,23,23
40,AJAY MOTORS PRIVATE LIMITED,176,176
41,A.J ENTERPRISES,29,29
42,AJIT ENGINEERING WORKS,4,4
43,AKAL AGRO INDUSTRY,26,26
44,AKASH KRISHI YANTRA,1,1
45,AKASH TRAILOR,24,24
46,A K AUTTO ELECTRICAL,1,1
47,AKG INTERNATIONAL,474,474
48,A K GUPTA & CO.,601,601
49,A K S ENG AGRO INDUSTRIES,25,25
50,AKSHAYA AGRI EQUIPMENT & SERVICES PVT LTD,1,1
51,ALBEDO VISION PVT LTD,30,30
52,ALLENTTI MOTORS PVT LTD,99,99
53,ALLFINE INDUSTRIES PVT LTD,"11,168","11,168"
54,ALL TERRAIN CRANE,"1,221","1,221"
55,ALPHA SERVICES,28,28
56,ALTIER ELECTRIC VEHICLES PVT LTD,"2,759","2,759"
57,ALTIGREEN PROPULSION LABS PVT LTD,"2,802","2,802"
58,ALTIUS EV TECH PVT LTD,22,22
59,ALTIUS TECHNOLOGIES,13,13
60,AMAN AGRO INDUSTRIES,45,45
61,AMAN AUTOMOBILES,29,29
62,AMAN ELECTRIC VEHICLES,297,297
63,AMAR AGRO SALES,3,3
64,AMAR ENGG. WORKS,19,19
65,AMARJEET HARVESTER INDUSTRY,25,25
66,AMBIKA ENTERPRISES,141,141
67,AMBIKA INDUSTRIES,"2,138","2,138"
68,AMMANN APOLLO INDIA PVT LTD,254,254
69,AMO MOBILITY SOLUTIONS PVT LTD,804,804
70,AMPERE VEHICLES PRIVATE LIMITED,"23,786","23,786"
71,AMRIT AGRO INDUSTRIES,3,3
72,"AMRIT ENGG WORKS,DKL",50,50
73,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,49,49
74,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),9,9
75,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),15,15
76,ANCHI MOTORCYCLE (IMPORTER:HINDUSTAN EV MOTORS),1,1
77,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),91,91
78,ANDHRA PRADESH SCOOTERS LTD   ,1,1
79,ANGAD AGRO INDUSTRIES,4,4
80,ANJALI AUTO COMPONENTS,75,75
81,ANJALI TRADERS,90,90
82,ANKUSH AUTO DEALS,5,5
83,ANNAPURNA AGRO INDUSTRIES,1,1
84,ANNAPURNA INDUSTRIES,43,43
85,ANOOP CYLINDERS PVT LTD,4,4
86,"ANUP ENTERPRISES,SNG",2,2
87,ANVITA AUTO TECH WORKS PVT LTD,19,19
88,APARNA INDUSTRIES,89,89
89,A P I MOTORS PVT LTD,956,956
90,APM AUTO SALES,731,731
91,APOLLO CARMIX EQUIPMENTS PVT LTD,111,111
92,APSARA ENTERPRISE,820,820
93,APTEC EQUIPMENT PRIVATE LIMITED,12,12
94,A R AGRO TECH,12,12
95,ARCHIT ENTERPRISES,"1,169","1,169"
96,ARD EXIM,65,65
97,ARIN TRACTORS PVT LTD,2,2
98,ARMIX CONSTRUCTION MACHINERY PVT LTD,6,6
99,ARNA ELECTRIC AUTO PVT LTD,560,560
100,ARROW AUTOMOTIVE,"3,742","3,742"
101,ASHA IMPEX,113,113
102,ASHA METAL INDUSTRIES,2,2
103,ASHLESHA POWER CONTROLS PVT LTD,6,6
104,ASHMA-MOTORS PVT LTD,578,578
105,"ASHOK FABRIC & ENGG,RAIRAKHOL",4,4
106,ASHOK LEYLAND DEFENCE SYSTEMS LTD,56,56
107,ASHOK LEYLAND LTD,"1,68,339","1,68,339"
108,ASHOK STEEL INDU,3,3
109,ASHWA ELECTRIC,1,1
110,ASIA BODY BUILDERS & MANUFACTURERS,2,2
111,ASSAM FABRICATION WORKS,71,71
112,ASSAM SAII MOTORS P LTD,1,1
113,ASTON MARTIN LAGONDA LTD,5,5
114,ATHER ENERGY LTD,"1,09,168","1,09,168"
115,ATLAS AUTO INDUSTRIES         ,1,1
116,ATTOLENT AUTO GROUP PVT LTD,822,822
117,ATUL AUTO LTD,"22,524","22,524"
118,ATUL GREENTECH PRIVATE LIMITED,272,272
119,ATUMOBILE PVT LTD,87,87
120,ATUT SANGAM,"2,666","2,666"
121,AUDI AG,"1,076","1,076"
122,AUM ENGINEERING AND WORKS,10,10
123,AUTOECO GREEN ENERGY PVT LTD,722,722
124,AUTOHAUS PRIVATE LIMITED,38,38
125,AUTOLITE (INDIA) LIMITED,2,2
126,AUTOMOBILI LAMBORGHINI S.P.A,80,80
127,A.V.AUTOMOTIVES PVT LTD,"1,320","1,320"
128,AVL ELECTRIC VEHICLES PVT LTD,"2,827","2,827"
129,AVON CYCLES LTD,762,762
130,AVTAR ENGINEERING WORKS,6,6
131,AWACHAT INDUSTRIES LTD,972,972
132,AYAAN ELECTRONIC PVT LTD,93,93
133,B24 ROKET EV,260,260
134,BABA E RICKSHAW & C BATTERIES,1,1
135,BABA E-VEHICLES,"1,295","1,295"
136,BABA HARI DAS FABRICATION,8,8
137,BABAJI ENGINEERING TRAILOR WORKS,18,18
138,BABA PRODUCT,171,171
139,BAGHWAN RIKSHAW UDYOG,51,51
140,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),5,5
141,BAJAJ AUTO LTD,"25,29,651","25,29,651"
142,BAJAJ IMPLEMENTS PVT. LTD,999,999
143,BAL AGRO INDUSTRIES,1,1
144,BALAJEE ENGINEERING,6,6
145,BALAJI AGRO INDUSTRIES,65,65
146,BALAJI ENGINEERING,3,3
147,BALAJI TRADING COMPANY,19,19
