Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
148,BALAN ENGINEERING PVT LTD,174,174
149,BALBIR INDUSTRIES,5,5
150,BAL GOPAL WHEELS PVT LTD,159,159
151,BALI AUTO INDUSTRIES,270,270
152,BALJEET ENGG. WORKS,1,1
153,BALJEET KRISHI YANTRA,2,2
154,BANKU BODY BUILDER,16,16
155,BANSAL AGRICULTURE IMPLEMENTS,3,3
156,"BASUDEB ENGINEERING, CUTTACK",17,17
157,BATTRE ELECTRIC MOBLITY PVT LTD,"4,902","4,902"
158,"BAUTI ENGINEERING,NAYAGARH",9,9
159,BAXY LTD,"1,346","1,346"
160,BEML LIMITED,11,11
161,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,"1,867","1,867"
162,BENTINCK INDUSTRIES PVT. LTD.,369,369
163,BENTLEY MOTORS LIMITED,65,65
164,BEST WAY AGENCIES PVT LTD,"7,896","7,896"
165,BESTWAY AGENCIES PVT LTD,1,1
166,BESTWAY BANARASH,20,20
167,BGAUSS AUTO PRIVATE LIMITED,"15,241","15,241"
168,BHADAURIA ENTERPRISES,142,142
169,BHAGWAN AGRO INDUSTRIES,44,44
170,BHAGYALAXMI TRAILER,4,4
171,BHARATH AGRO PRODUCTS,6,6
172,BHARATH ENGINEERING WORKS,3,3
173,BHAVE ELECTRIC VEHICLES PVT LTD,"2,876","2,876"
174,BHM INDUSTRIES,"2,084","2,084"
175,BHOGAL COMBINE SPARE PARTS,35,35
176,BHOYAR AGRO IND WARDHA,68,68
177,BIDISHA ENTERPRISES PVT LTD,10,10
178,BIG BULL TRADER PVT LTD,980,980
179,BIJNOR ENTERPRISES,40,40
180,BISWAS ENGINEERING WORKS,2,2
181,BLACK PEARL AUTOMOTIVE SOLUTIONS PVT LTD,1,1
182,BLIX CYCLES AND E-VEHICLES PVT LTD,37,37
183,BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,272,272
184,BMW INDIA PVT LTD,"21,051","21,051"
185,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,318,318
186,BOUNCE ELECTRIC 1 PVT LTD,"3,429","3,429"
187,BRIGHT AUTOZONE PVT LTD,"3,676","3,676"
188,BRIGHT METAL WORKS,8,8
189,BSA MOTORS,26,26
190,BSERAIL ENGINEERING PVT LTD,10,10
191,BSMS AGRICULTURE WORKSHOP,56,56
192,BUCHER MUNICIPAL (IMPORTER: PAMTEC ENVIRO),9,9
193,BULL MACHINES PVT LTD,"1,028","1,028"
194,BYD AUTO,5,5
195,BYD INDIA PRIVATE LIMITED,"1,943","1,943"
196,CAPCO INDUSTRIES PVT LTD,25,25
197,CAPITAL AUTO INDUSTRIES,"2,091","2,091"
198,CAPTAIN TRACTORS PVT. LTD.,"5,039","5,039"
199,CARREE YUNUS VEHICLE PVT LTD,16,16
200,CART INDIA,380,380
201,CASE EQUIPMENT PRIVATE LTD,5,5
202,CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,"1,886","1,886"
203,CATERPILLAR INDIA PRIVATE LIMITED,"1,932","1,932"
204,CEEON INDIA,917,917
205,CELLETRON MOTOR WORKS,27,27
206,CHAANY AGRO INDUSTRIES,8,8
207,CHAMPION POLY PLAST,"14,009","14,009"
208,CHANDAKE-AUTOMOBILES LLP,5,5
209,CHANDANA CORPORATION,385,385
210,CHANNY AGRO INDUSTRIES,19,19
211,CHARUVIKRAM AUTOMOBILE PVT LTD,2,2
212,CHAUHAN AUTO INDUSTRIES,608,608
213,CHEHAK BATTERIES,316,316
214,CHETAK TECHNOLOGY LIMITED,564,564
215,CHEVROLET SALES INDIA PVT LTD,1,1
216,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),209,209
217,CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),6,6
218,CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,1,1
219,CIMMCO LIMITED,1,1
220,CITADEL ENTERPRISES(OPC) PVT LTD,26,26
221,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,845,845
222,CIVIMEC ENGINEERING PVT LTD,6,6
223,CLAAS AGRICULTURAL MACHINERY PVT LTD,1,1
224,CLAAS INDIA P LTD,74,74
225,CLASSIC (INDIA) MOTORS,1,1
226,CLASSIC LEGENDS PVT LTD,"31,020","31,020"
227,C M OVERSEAS,52,52
228,CNH INDUSTRIAL (INDIA) PVT LTD,"36,344","36,344"
229,CONMAT HEAVY INDUSTRIES PVT LTD,125,125
230,CONTINENTAL ENGINES PVT LTD,"4,327","4,327"
231,CRANE KRAFT INDIA PRIVATE LIMITED,169,169
232,CREATIVE ENGINEERINGS,1,1
233,CYRUS AUTO INDUSTRIES PVT LTD,78,78
234,DABASIYA LOADERS,1,1
235,DAIMLER AG,5,5
236,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,"21,272","21,272"
237,DAKSH INDUSTRIES,"6,673","6,673"
238,DALIP SINGH & SONS,3,3
239,DAO EVTECH PRIVATE LIMITED,259,259
240,DASHMESH MECH WORKS PVT LTD,2,2
241,DASHMESH TRADERS,125,125
242,DASMESH AGRICULTURAL INDUSTRIES PVT LTD,3,3
243,DASMESH AGRICULTURE WORKS,25,25
244,DASMESH MECHANICAL WORKS PVT.LTD,371,371
245,DAVE EXIM PVT LTD,323,323
246,DEEP DRAWN TECHNOLOGIES,20,20
247,"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",28,28
248,DE EUSI MOTORS PVT LTD.,"1,665","1,665"
249,DELTA AUTOCORP LTD,"2,570","2,570"
250,DELTEK ENTERPRISES PVT LTD,13,13
251,DEMAG DEMAG HC 340,17,17
252,DEMAGE MOTORS LTD,1,1
253,DEV AGRO INDUSTRIES,10,10
254,DEVAM ELECTRIC VEHICLES PVT LTD,59,59
255,DEVANGI ENG..,164,164
256,DEV ENGINEERING WORKS,21,21
257,DEVI ENGINEERING WORKS,7,7
258,DEV MOTORS,8,8
259,DEWAN AGRICULTURE WORKS,33,33
260,DHANALAKSHMI ENGINEERING WORKS,21,21
261,DHANAVENKAT ENGG.WORKS,1,1
262,DHANLAXMI FABRICATORS,2,2
263,DHANNLAXMI AUTOWORKS,1,1
264,DHAR IN PVT LTD,28,28
265,DHAR INTERNATIONAL,30,30
266,DHIMAN AGRICULTURE,15,15
267,DHIMAN AGRICULTURE WORKS,6,6
268,DHIMAN AGRO INDUSTRIES,1,1
269,DHIMAN BROTHERS,4,4
270,DHRITI ENTERPRISES,17,17
271,"DIAMOND ENGG,CTC",44,44
272,DIAMOND E VEHICLES,548,548
273,DILLI ELECTRIC AUTO PVT LTD,"26,180","26,180"
274,DIVANSU AUTOMOBILES LTD,113,113
275,DIVYA ENTERPRISES,932,932
276,D K DIESELS PVT LTD,9,9
277,DONGMA VEHICLE (IMPORTER: MERCURY METALS),27,27
278,DOOSAN BOBCAT INDIA PVT LTD,555,555
279,DSF INDUSTRIES PVT LTD,18,18
280,D S INDUSTRIES,20,20
281,DSR EV MOBILITY PVT LTD,9,9
282,DUCATI INDIA PVT LTD,385,385
283,DUCATI MOTOR HOLDING S.P.A,2,2
284,DUKE AUTO INDIA,952,952
285,DULEVO INDIA PVT LTD,36,36
286,"DURGA AGRO ENGG,BALASORE",19,19
287,"DURGA&DURGA ENGG WORKS,BHMPUR",10,10
288,"DURGA & DURGA ENG WORKS, HALADIAPADAR, GANJAM",15,15
289,DURGA ENGINEERING WORKS,92,92
290,DURGA FILTERS PVT LTD,2,2
291,"DWARI ENGG WORKS,SAMBALPUR",7,7
292,DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,178,178
293,DYS IMPEX PRIVATE LIMITED,890,890
294,EAGLE AUTO PEARL PVT,1,1
295,E-ASHWA AUTOMOTIVE (HS 2W) PVT LTD,1,1
296,E-ASHWA AUTOMOTIVE PVT LTD,231,231
297,EBUZZ MOBILITY LLP,23,23
298,ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),23,23
299,ECO DYNAAMIC EQUIPMENTS,63,63
300,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,47,47
301,ECO FUEL SYSTEMS (I) PVT LTD,503,503
302,ECO SMART VEHICLES PVT LTD,"1,442","1,442"
303,ECOYAN ELECTRIC MOTOR VEHICLES PVT LTD,7,7
304,EDMRC MANNSCHAFT LLP,80,80
305,EEVEE ENGINEERING PVT LTD,1,1
306,EFEV CHARGING SOLUTION PVT LTD,556,556
307,E-GURU AUTO ENERGY,167,167
308,EICHER MOTORS LTD,31,31
309,EICHER TRACTORS,"59,558","59,558"
310,EIMCO ELECON,6,6
311,ELECTRA INTERNATIONAL,6,6
312,ELECTRECA VEHICLES,75,75
313,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),43,43
314,ELECTROTECH TRANSMISSION PVT LTD,1,1
315,ELEPHANTA INDUSTRIES PVT LTD,10,10
316,ELGIN SWEEPER CO USA,1,1
317,ELITE AUTO ENGINEERS PVT LTD,"1,412","1,412"
318,ELSA CONCRETING MACHINERY INDIA PVT LTD,13,13
319,ELTHOR ENERGY PRIVATE LIMITED,151,151
320,E-MOTION AUTOMOTIVE INDUSTRY LLP,477,477
321,ENERGY ELECTRIC VEHICLES,"12,002","12,002"
322,ENGINIA VEHICLES PVT LTD,259,259
323,ENGTIAN ELECTRIC BIKE PVT LTD,468,468
324,ENIGMA AUTOMOBILES PVT LTD,6,6
325,ENTICE IMPEX PVT LTD,769,769
326,EPOWER VEHICLES PVT LTD,28,28
327,ERISHA E MOBILITY PVT LTD,76,76
328,E ROYCE MOTORS INDIA PVT LTD,"1,255","1,255"
329,ESCORTS CONSTRUCTION EQUIPMENT LTD,86,86
330,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),"89,890","89,890"
331,ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),"5,459","5,459"
332,ESCORTS R&D CENTRE,42,42
333,ESCORTS TRACTORS LTD,12,12
334,E-SPRINTO GREEN ENERGY PVT LTD,144,144
335,ESSAR ENGINEERING,9,9
336,ESSAR ENGINEERING MAYURBHANJ BARIPADA,1,1
337,ETRIO AUTOMOBILES PVT LTD,65,65
338,EULER MOTORS PVT LTD,"3,393","3,393"
339,EVAGE AUTOMOTIVE PVT LTD,74,74
340,EVBHARAT RANGE PRIVATE LIMITED,31,31
341,EVCO AUTOMOBILES PVT LTD,58,58
342,EVERVE MOTORS PVT LTD,1,1
343,EVEX AUTO INDIA PVT LTD,150,150
344,EVOLUTION AUTOTECH,2,2
345,EVTRIC MOTORS PVT LTD,468,468
346,EXERVAL PVT LTD,63,63
347,EXIDE INDUSTRIES LTD,"2,500","2,500"
348,EXTRA FAST SOLUTIONS,740,740
349,EXTREME MOTORS,204,204
350,FARMTECH AGRO INDUSTRIES,18,18
351,FCA INDIA AUTOMOBILES PRIVATE LIMITED,"6,188","6,188"
352,FEDE INDUSTRIES PVT LTD,919,919
353,FERRARI INDIA PRIVATE LIMITED,17,17
354,FERRARI SPA,21,21
355,FERRARI SPA (IMPORTER:SELECT CARS P LTD),1,1
356,FIADO INDUSTRIES PVT LTD,123,123
357,FIELDTRACK EARTHMOVERS PVT LTD,89,89
358,FINE EQUIPMENTS INDIA PVT LTD,8,8
359,FIORI CONCRETE MACHINES INDIA PVT LTD,3,3
360,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,559,559
361,FITWEL MOBILITY PVT LTD,15,15
362,FIVE ELEMENTS,143,143
363,FONEX LTD,1,1
364,FORCE MOTORS LIMITED,"27,411","27,411"
365,FORD INDIA PVT LTD,32,32
366,FRIENDS AGRO INDUSTRIES,4,4
367,FSTMOTO (IMPORTER: AUTOICARE INNOVATION),68,68
368,FSTMOTO INTERNATIONAL (IMPORTER: TEDI (INDIA)),1,1
369,FUJIYAMA POWER INFRA PVT. LTD.,18,18
370,GAGAN AUTOMOTIVES,605,605
371,GAHIR AGRICULTURAL INDUSTRIES,33,33
372,GAHIR AGRO INDUSTRIES LIMITED,12,12
373,GALVANIC AUTO PVT LTD,193,193
374,GAMZEN PLAST PVT LTD,5,5
375,GANESH AGRO INDUSTRIES,156,156
376,GARIMA INDUSTRIES,17,17
377,GAURA ELECTRIC VEHICLES PVT LTD,35,35
378,GAURI AUTO INDIA PVT. LTD,1,1
379,GAUTAM AGRO INDUSTRIES,10,10
380,GAYATRI AGRO INDUSTRIES,12,12
381,GAYATRI ELECTRIC VEHICLES PVT LTD,"2,896","2,896"
382,GENERAL MOTORS INDIA PVT LTD,4,4
383,G & G AUTOMOTIVE,"1,403","1,403"
384,GIAN AGRO INDUSTRIES,17,17
385,GILL AGRICULTURE WORKS,44,44
386,GILL AGROTECH,12,12
387,GILL MECHANICAL WORKS,3,3
388,GILL PREET AGRO INDUSTRIES,1,1
389,GILLPREETAGRO INDUSTRIES,33,33
390,G.K E-VEHICLS INDUSTRIES PVT LTD,248,248
391,GKON ELECTRIC MOTOR VEHICLES PVT LTD,671,671
392,G.K. RICKSHAW PVT LTD,"5,518","5,518"
393,G. M. VEHICLE INDUSTRIES,15,15
394,GOBIND AGRO INDUSTRIES,89,89
395,GOBIND INDUSTRIES PVT LTD,7,7
396,GOBIND MOTOR GARAGE,3,3
397,GODAWARI ELECTRIC MOTORS PVT LTD,419,419
398,GODAWARI TECHNO SOLUTIONS PVT LTD,67,67
399,GODREJ AND BOYCE MFG CO LTD,26,26
400,GODREJ & BOYCE MFG. CO. LTD,236,236
401,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,314,314
402,GOGORO (IMPORTER: GOGORO INDIA PRIVATE LTD),71,71
403,GOGORO INDIA PVT LTD,28,28
404,GO GREEN EOT (ENERGY OF THINGS) PVT LTD,10,10
405,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),1,1
406,GOLD HOFER,9,9
407,GOLDHOFER INDIA LLP,15,15
408,"GOPAL AGRO AGENCY,HALADIAPADAR,BERHAMPUR,GANJAM",5,5
409,GOPAL AUTO MOTORS PVT LTD,"1,528","1,528"
410,GOPAL ENGG. WORKS,2,2
411,"GOPAL ENGINEERING, BALASORE",9,9
412,GOREEN E-MOBILITY PVT LTD,"2,522","2,522"
413,GOYAL AGRO INDUSTRIES,5,5
414,GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,132,132
415,GRD MOTORS,"3,688","3,688"
416,GREAVES ELECTRIC MOBILITY PVT LTD,"31,276","31,276"
417,GREENETICS INDUSTRIES PVT LTD,116,116
418,GREEN EVOLVE PVT LTD,124,124
419,GREENFIT INDUSTRIES LLP,46,46
420,GREEN IMPEX,442,442
421,GREEN SHUTTLE TECHNOLOGY PVT LTD,29,29
422,GREEN STAR MOTORS,322,322
423,GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,61,61
424,GREENTECH AUTO LLP,1,1
425,GREEN TECHNOLOGIES,259,259
426,GREEN VALLEY MOTORS,7,7
427,GREEN WAY ECO RIDE,2,2
428,GREENWHEELS AUTOMOBILE PVT LTD,829,829
429,GRINDIA G MOTORS PVT LTD,5,5
430,GROMAX AGRI EQUIPMENT LTD,"3,200","3,200"
431,GROVE INDIA PVT LTD,47,47
432,GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),90,90
433,GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),3,3
434,GUJARAT NARMADA AUTO LTD,3,3
435,GURDEEP AGRO  INDUSTRIES,9,9
436,GURDEEP ENGINEERING WORKS,38,38
437,GURDEV MECHANICAL WORKS,8,8
438,GURM AGRICULTURE WORKS,10,10
439,GURMUKH AGRO INDUSTRIES,35,35
440,GURU JI WHEELS,43,43
441,GURUKIRPA INDUSTRIES,19,19
442,GURUKRAPA ENGINEERING WORKS,9,9
443,GURU NANAK AGRICULTURE IMPLEMENTS,2,2
444,GURU NANAK AGRI ENGG WORKS,307,307
445,GURU NANAK AGRI WORKS,49,49
446,GURU NANAK AGRO INDUSTRIES,38,38
447,GURU RAMDAS AGROTECH,1,1
448,HAARISH AUTOMOTIVES (OPC) PRIVATE LIMITED,4,4
449,HAITEK AUTOMOTIVE PVT LTD,11,11
450,HAMM AG,40,40
451,HANUMAN UDYOG,18,18
452,HARDEV AGRO TECH,29,29
453,HARJEET AGRO INDUSTRIES,115,115
454,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),217,217
455,HARMEET AGRICULTURE WORKS,92,92
456,HARSH TRADING CO,42,42
457,HARSHVIE INDUSTRIES PVT LTD,4,4
458,HAYASA E-MOBILITY (INDIA) PVT LTD,4,4
459,HBSS E MOBILITY PVT LTD,12,12
460,HD HYUNDAI CONSTRUCTION EQUIPMENT INDIA PVT LTD,4,4
461,H-D MOTOR COMPANY INDIA PVT LTD,3,3
462,HEMAVATHI AGRO INDUSTRIES,15,15
463,HERO ELECTRIC VEHICLES PVT. LTD,"12,098","12,098"
464,HERO HONDA MOTORS  LTD,27,27
465,HERO MOTOCORP LTD,"54,10,908","54,10,908"
466,HIGHWAY ENGING WORKS,23,23
467,HIMANI AGRO INDUSTRIES,22,22
468,HIM TEKNOFORGE LTD,564,564
469,HIND AGRO INDUSTRIES,57,57
470,HINDUSTAN AGRO INDUSTRIES,9,9
471,HINDUSTAN MOTOR CORPORATION,"1,368","1,368"
472,HINDUSTAN MOTOR FINANCE CORPORATION LIMITED,68,68
473,HIRA AGRO INDUSTRIES,177,177
474,HITECH ENGINEERING LTD,61,61
475,HI-TECH INDUSTRIES,98,98
476,HITECH  MECHANICAL WORKS,13,13
477,HITENDRA WELDING WORKS,77,77
478,H M G ENGINEERING WORKS,4,4
479,HOLLAND TRACTORS PVT LTD,9,9
480,HOMFEEL VEGH AUTOMOBILES PVT LTD,7,7
481,HONDA CARS INDIA LTD,"79,661","79,661"
482,HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,"40,95,115","40,95,115"
483,HONGKONG YIXING (IMPORTER: ADMS MARKETING),149,149
484,HONGKONG YIXING (IMPORTER: VICTORY ELECTRIC),16,16
485,HOOGHLY MOTORS PVT LTD,"4,187","4,187"
486,HOP ELECTRIC MOBILITY PVT LTD,257,257
487,HOP MOTORS PVT LTD,803,803
488,HOTAGE INDIA,"13,892","13,892"
489,HOUSTAN INNOVATION LLP,31,31
490,HOVEL CYLINDER PVT LTD,61,61
491,H R AGRO INDUSTRIES,61,61
492,HSU DRAGON (IMPORTER: DARK FIGHT POWER PVT LTD),2,2
493,HUNDA EV PVT LTD,257,257
494,HUNDAL INDUSTRIES,988,988
495,HYKON INDIA LTD,54,54
496,HYUNDAI MOTOR INDIA LTD,"5,62,782","5,62,782"
497,"HYUNDAI MOTORS LTD, SOUTH KOREA",14,14
498,IDEAL JAWA INDIA PVT LTD,1,1
499,INDERPREET AGRO INDUSTRIES,38,38
500,INDIA KAWASAKI MOTORS PVT LTD,"3,688","3,688"
501,INDIAN MOTORS,"2,176","2,176"
502,INDIA SAFE ENTERPRISE,363,363
503,INDIA YAMAHA MOTOR PVT LTD,"6,06,885","6,06,885"
504,INDICON AGRO INDUSTRIES LLP,1,1
505,INDO FARM EQUIPMENT LIMITED,"3,438","3,438"
506,INDRA TRAILORS,2,2
507,INDUS ELECTROTHERM INDIA LTD,25,25
508,INEOS AUTOMOTIVE LIMITED,1,1
509,INTERNATIONAL CARS & MOTORS LIMITED,41,41
510,INTERNATIONAL TRACTORS LIMITED,"1,14,244","1,14,244"
511,INVVIGORS INDIA,130,130
512,IPL TECH ELECTRIC PVT LTD,40,40
513,IRA EDUTECH PVT LTD,10,10
514,ISHWAR FARMLINE EQUIPMENTS PRIVATE LIMITED,95,95
515,ISHWAR FARMLINE EQUIPMENTS PVT LTD,41,41
516,ISUKII GREENS PVT LTD,77,77
517,ISUZU MOTORS INDIA PVT LTD,"2,065","2,065"
518,IVOOMI INNOVATION PVT LTD,"2,017","2,017"
519,IZANAU ELECTRIC LLP,54,54
520,JADE KOREA SPINE LIFE,94,94
521,JADHAV AGRO INDUSTRIES PVT. LTD.,16,16
522,JAGADAMBA TRAILER,6,6
