Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
44,AJAY ENTERPRISES TRAILOR NABARANGPUR TOWN,23,23
45,AJAY MOTORS PRIVATE LIMITED,242,242
46,A.J ENTERPRISES,187,187
47,AKAL AGRO INDUSTRY,34,34
48,AKASH TRAILOR,34,34
49,A.K.AUTO ELECTRICAL,1,1
50,A K AUTTO ELECTRICAL,2,2
51,AKG INTERNATIONAL,"1,970","1,970"
52,A K GUPTA & CO.,824,824
53,AKMAAN MULTI MECH MACHINES,2,2
54,A K S ENG AGRO INDUSTRIES,24,24
55,ALBEDO VISION PVT LTD,6,6
56,ALIED E MOBILITY PVT LTD,107,107
57,ALLENTTI MOTORS PVT LTD,272,272
58,ALLFINE INDUSTRIES PVT LTD,"7,196","7,196"
59,ALL TERRAIN CRANE,"1,314","1,314"
60,ALPHA SERVICES,9,9
61,ALTIER ELECTRIC VEHICLES PVT LTD,"2,699","2,699"
62,ALTIGREEN PROPULSION LABS PVT LTD,378,378
63,ALTIUS EV TECH PVT LTD,15,15
64,ALTIUS TECHNOLOGIES,14,14
65,ALVI AUTO,62,62
66,AMAC INNOVATIVES,2,2
67,AMAN AGRO INDUSTRIES,17,17
68,AMAN AUTOMOBILES,62,62
69,AMAN ELECTRIC VEHICLES,503,503
70,AMAN ENTERPRISES BHPATNA,51,51
71,AMAR ENGG. WORKS,3,3
72,AMARJEET HARVESTER INDUSTRY,28,28
73,AMBICA TROLLEY WORKS,1,1
74,AMBIKA ENTERPRISES,141,141
75,AMBIKA INDUSTRIES,"1,778","1,778"
76,AMIR KHAN SAIFI STEEL WORKS,53,53
77,AMMANN APOLLO INDIA PVT LTD,223,223
78,AMO MOBILITY SOLUTIONS PVT LTD,86,86
79,AMPERE VEHICLES PRIVATE LIMITED,723,723
80,"AMRIT ENGG WORKS,DKL",25,25
81,AMRIT ENGINEERING WORKS ANGUL HEMASURPADA,26,26
82,AMW MOTORS LIMITED,2,2
83,ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,31,31
84,ANCHI MOTORCYCLE (IMPORTER: EVNEXUS PVT. LTD.),4,4
85,ANCHI MOTORCYCLE(IMPORTER:GREEN FUEL ALTERNATIVES),6,6
86,ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),13,13
87,ANGAD AGRO INDUSTRIES,1,1
88,ANJALI AUTO COMPONENTS,57,57
89,ANJALI TRADERS,100,100
90,ANNAPURNA INDUSTRIES,83,83
91,ANOOP CYLINDERS PVT LTD,7,7
92,"ANUP ENTERPRISES,SNG",4,4
93,ANVITA AUTO TECH WORKS PVT LTD,5,5
94,ANWAR ENGINEERING RAYAGADA,3,3
95,APARNA INDUSTRIES,26,26
96,A P I MOTORS PVT LTD,683,683
97,APM AUTO SALES,724,724
98,APOLLO CARMIX EQUIPMENTS PVT LTD,106,106
99,APSARA ENTERPRISE,"1,915","1,915"
100,APTEC EQUIPMENT PRIVATE LIMITED,13,13
101,A R AGRO TECH,3,3
102,ARCHIT ENTERPRISES,"1,331","1,331"
103,ARD EXIM,28,28
104,ARIHANT ENTERPRISES,1,1
105,ARMIX CONSTRUCTION MACHINERY PVT LTD,8,8
106,A.R. MOTOR,644,644
107,ARNA ELECTRIC AUTO PVT LTD,21,21
108,ARROW AUTOMOTIVE,"3,451","3,451"
109,ARYAN INDUSTRIES,13,13
110,ASAV AUTOMOTIVE PVT LTD,18,18
111,ASHA IMPEX,287,287
112,ASHA METAL INDUSTRIES,1,1
113,ASHLESHA POWER CONTROLS PVT LTD,4,4
114,ASHMA-MOTORS PVT LTD,"1,369","1,369"
115,ASHNNI MOTORS PVT LTD,5,5
116,ASHOKA INDUSTRIES BOLANGIR DUMERPALI,1,1
117,"ASHOK FABRIC & ENGG,RAIRAKHOL",1,1
118,ASHOK LEYLAND DEFENCE SYSTEMS LTD,3,3
119,ASHOK LEYLAND LTD,"1,68,469","1,68,469"
120,ASHTVINAYAK INDUSTRIES,3,3
121,ASIA BODY BUILDERS & MANUFACTURERS,1,1
122,ASSAM FABRICATION WORKS,55,55
123,ASTON MARTIN LAGONDA LTD,18,18
124,ATHER ENERGY LTD,"1,31,173","1,31,173"
125,ATTOLENT AUTO GROUP PVT LTD,556,556
126,ATUL AUTO LTD,"28,372","28,372"
127,ATUL GREENTECH PRIVATE LIMITED,"1,140","1,140"
128,ATUMOBILE PVT LTD,32,32
129,ATUT SANGAM,"2,297","2,297"
130,AUDI AG,411,411
131,AUM ENGINEERING AND WORKS,19,19
132,AUTO CART LOGISTIC EQUIPMENT PVT LTD,9,9
133,AUTOECO GREEN ENERGY PVT LTD,837,837
134,AUTOEXIM HOUSE LLP,49,49
135,AUTOHAUS PRIVATE LIMITED,4,4
136,AUTOLITE (INDIA) LIMITED,1,1
137,AUTOMOBILI LAMBORGHINI S.P.A,130,130
138,AUTOMOTIVE MANUFACTURERS PRIVATE LIMITED,1,1
139,A.V.AUTOMOTIVES PVT LTD,"1,439","1,439"
140,AVL ELECTRIC VEHICLES PVT LTD,"3,394","3,394"
141,AVON CYCLES LTD,551,551
142,AVTAR ENGINEERING WORKS,20,20
143,AWACHAT INDUSTRIES LTD,"1,656","1,656"
144,AYAAN ELECTRONIC PVT LTD,14,14
145,B24 ROKET EV,"1,493","1,493"
146,BABA E-VEHICLES,688,688
147,BABAJI ENGINEERING TRAILOR WORKS,12,12
148,BABA PRODUCT,44,44
149,BADSHAH ENTERPRISES,63,63
150,BAGHWAN RIKSHAW UDYOG,56,56
151,BAILI MOTOR (IMPORTER:A B MOTOSS EV PVT LTD),7,7
152,BAJAJ AUTO LTD,"25,93,452","25,93,452"
153,BAJAJ IMPLEMENTS PVT. LTD,776,776
154,BAJRANG AGRO INDUSTRIES,2,2
155,BALAJI AGRO INDUSTRIES,62,62
156,BALAJI ENGINEERING,2,2
157,BALAJI TRADING COMPANY,140,140
158,BALAN ENGINEERING PVT LTD,112,112
159,BAL GOPAL WHEELS PVT LTD,91,91
160,BALI AUTO INDUSTRIES,238,238
161,BALJEET ENGG. WORKS,1,1
162,BANKU BODY BUILDER,9,9
163,BANKU BODY BUILDERS CHANDIKHOLE KUAKHIA,3,3
164,BARKAT ENGINEERING WORKS,1,1
165,"BASUDEB ENGINEERING, CUTTACK",16,16
166,BASUDEB ENGINEERING CUTTACK KHAPURIA MADHUPATNA,21,21
167,BATTRE ELECTRIC MOBLITY PVT LTD,"2,392","2,392"
168,BAUTI ENGINEERING NAYAGARH ITAMATI,2,2
169,BAXY LTD,"5,536","5,536"
170,BEENA DEVI & SONS INDUSTRIES PVT LTD,4,4
171,BEML LIMITED,19,19
172,BENLING INDIA ENERGY AND TECHNOLOGY PVT LTD,351,351
173,BENTINCK INDUSTRIES PVT. LTD.,199,199
174,BENTLEY MOTORS LIMITED,55,55
175,BEST WAY AGENCIES PVT LTD,"5,812","5,812"
176,BESTWAY BANARASH,3,3
177,BGAUSS AUTO PRIVATE LIMITED,"17,343","17,343"
178,BHADAURIA ENTERPRISES,66,66
179,BHAGAT AGRO INDUSTRIES,2,2
180,BHAGWAN AGRO INDUSTRIES,49,49
181,BHAGYALAXMI TRAILER,1,1
182,BHARATH AGRO PRODUCTS,1,1
183,BHARATH ENGINEERING WORKS,3,3
184,BHARATH MOTOCORP,36,36
185,BHARAT MECHANICAL WORKS,3,3
186,BHAVE ELECTRIC VEHICLES PVT LTD,"2,198","2,198"
187,BHM INDUSTRIES,"2,645","2,645"
188,BHOGAL COMBINE SPARE PARTS,49,49
189,BHOLE SHANKAR MOTOR BODY,10,10
190,BHOOMI ENGINEERING,1,1
191,BHOYAR AGRO IND WARDHA,75,75
192,BIDISHA ENTERPRISES PVT LTD,7,7
193,BIDISHA ENTERPRISES PVT LTD MAYURBHANJ RAIRANGPUR,9,9
194,BIG BULL TRADER PVT LTD,"3,631","3,631"
195,BIJNOR ENTERPRISES,28,28
196,BISWAKARMA ENGINEERING,2,2
197,BISWAS ENGINEERING WORKS,2,2
198,BLIX CYCLES AND E-VEHICLES PVT LTD,3,3
199,BLUE ENERGY COMMERCIAL VEHICLES PVT. LTD.,314,314
200,BMR EV INDUSTRIES PVT LTD,2,2
201,BMW INDIA PVT LTD,"22,247","22,247"
202,BOMAG INDIA PVT LTD,1,1
203,BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,935,935
204,BOSS ENTERPRISES,88,88
205,BOUNCE ELECTRIC 1 PVT LTD,"7,005","7,005"
206,BRB MEXICO S.A DE C.V,1,1
207,BRIGHT AUTOZONE PVT LTD,"2,968","2,968"
208,BRIGHT METAL WORKS,1,1
209,BRIGHT SAFAR,34,34
210,BSA MOTORS,7,7
211,BSERAIL ENGINEERING PVT LTD,120,120
212,BSMS AGRICULTURE WORKSHOP,24,24
213,BU4 AUTO PVT LTD,1,1
214,BUCHER MUNICIPAL (IMPORTER: PAMTEC ENVIRO),9,9
215,BULL MACHINES PVT LTD,"1,644","1,644"
216,BYD AUTO,1,1
217,BYD INDIA PRIVATE LIMITED,"3,484","3,484"
218,CAPCO INDUSTRIES PVT LTD,16,16
219,CAPITAL AUTO INDUSTRIES,"1,206","1,206"
220,CAPTAIN TRACTORS PVT. LTD.,"3,558","3,558"
221,CARGOTEC INDIA PVT LTD,1,1
222,CARREE YUNUS VEHICLE PVT LTD,79,79
223,CART INDIA,246,246
224,CASE EQUIPMENT PRIVATE LTD,2,2
225,CASE NEW HOLLAND CONSTRUCTION EQUIPMENT(I) PVT LTD,"1,949","1,949"
226,CATERPILLAR INDIA PRIVATE LIMITED,"2,130","2,130"
227,CAUSIS E-MOBILITY PVT LTD,8,8
228,CEEON INDIA,472,472
229,CELLETRON MOTOR WORKS,175,175
230,CG & BROTHER CO,39,39
231,CHAANY AGRO INDUSTRIES,7,7
232,CHAMPION POLY PLAST,"10,638","10,638"
233,CHANDAKE-AUTOMOBILES LLP,200,200
234,CHANDANA CORPORATION,131,131
235,CHANNY AGRO INDUSTRIES,10,10
236,CHAUHAN AUTO INDUSTRIES,640,640
237,CHEHAK BATTERIES,382,382
238,CHEVROLET SALES INDIA PVT LTD,1,1
239,CHINA HAOCHEN (IMPORTER: ADMS MARKETING),330,330
240,CHINA HAOCHEN (IMPORTER:SLSR ELECTRO),27,27
241,CHITRA MANUFACTURERS LLP,4,4
242,CHONGQING CHARMING (IMPORTER: AYAAN ELECTRONICS).,1,1
243,CITADEL ENTERPRISES(OPC) PVT LTD,4,4
244,CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,473,473
245,CIVIMEC ENGINEERING PVT LTD,6,6
246,CLAAS INDIA P LTD,78,78
247,CLASSIC LEGENDS PVT LTD,"32,453","32,453"
248,CLENERGY INNOVATIONS PVT LTD,4,4
249,C M OVERSEAS,29,29
250,CNH INDUSTRIAL (INDIA) PVT LTD,"35,906","35,906"
251,COMETTO TRAILER,46,46
252,CONMAT HEAVY INDUSTRIES PVT LTD,219,219
253,CONTINENTAL ENGINES PVT LTD,322,322
254,CONVENIENT MACHINES PVT LTD,10,10
255,COVAI GREEN RIDE,9,9
256,CRANE KRAFT INDIA PRIVATE LIMITED,269,269
257,CREATIVE ENGINEERINGS,2,2
258,CUBE AUTO INDUSTRIES,3,3
259,CUBE AUTO INDUSTRIES BNGLORE,1,1
260,CYRUS AUTO INDUSTRIES PVT LTD,42,42
261,DABASIYA LOADERS,12,12
262,DAIMLER AG,19,19
263,DAIMLER INDIA COMMERCIAL VEHICLES PVT. LTD,"20,937","20,937"
264,DAKSH INDUSTRIES,"6,894","6,894"
265,DALIAN FORKLIFT CO.,1,1
266,DAO EVTECH PRIVATE LIMITED,34,34
267,DASHMESH MECH WORKS PVT LTD,1,1
268,DASHMESH TRADERS,156,156
269,DASMESH AGRICULTURE WORKS,28,28
270,DASMESH AGRO INDUSTRIES,1,1
271,DASMESH MECHANICAL WORKS PVT.LTD,601,601
272,DAVE EXIM PVT LTD,245,245
273,DEBU AUTOMOBILES,12,12
274,DEEP DRAWN TECHNOLOGIES,36,36
275,DEEPTI ENGG & IRON &STEEL IND MKG BALIMELA ROAD,11,11
276,"DEEPTI ENGINEERING AND IRON AND STEEL INDUSTRY, MALKANGIRI",11,11
277,DE EUSI MOTORS PVT LTD.,"2,230","2,230"
278,DELTA AUTOCORP LTD,"1,541","1,541"
279,DELTEK ENTERPRISES PVT LTD,30,30
280,DEV AGRO INDUSTRIES,8,8
281,DEVAM ELECTRIC VEHICLES PVT LTD,145,145
282,DEVANGI ENG..,175,175
283,DEVCHHAYA MOTORS,11,11
284,DEV ENGINEERING WORKS,70,70
285,DEV ENGINEERING WORKS BOLANGIR MADHIAPALI,1,1
286,DEVI ENGINEERING WORKS,9,9
287,DEV MOTORS,"1,632","1,632"
288,DEWAN AGRICULTURE WORKS,37,37
289,DHANALAKSHMI ENGINEERING WORKS,17,17
290,DHANALAXMI ENGINEERING PURI CHARINALA,14,14
291,DHANAVENKAT ENGG.WORKS,1,1
292,DHANAVENKAT ENGINEERING WORKS BARGARH CANAL ROAD,12,12
293,DHANLAXMI FABRICATORS,9,9
294,DHAR IN PVT LTD,155,155
295,DHAR INTERNATIONAL,24,24
296,DHARMPAL ENTERPRISES,7,7
297,DHARTI AGRICULTURE WORKS,1,1
298,DHIMAN AGRICULTURE,21,21
299,DHIMAN AGRICULTURE WORKS,14,14
300,DHIMAN AGRO INDUSTRIES,1,1
301,DHIMAN BROTHERS,2,2
302,DHRITI ENTERPRISES,133,133
303,"DIAMOND ENGG,CTC",31,31
304,DIAMOND ENGINEERING CUTTACK BHANPUR,9,9
305,DIAMOND E VEHICLES,478,478
306,DILIGENT MOBILITY SERVICE PVT LTD,1,1
307,DILLI ELECTRIC AUTO PVT LTD,"24,215","24,215"
308,DIVANSU AUTOMOBILES LTD,124,124
309,DIVYA ENTERPRISES,695,695
310,D K DIESELS PVT LTD,10,10
311,D.K. MOTORS,8,8
312,DODGE MOTORS,3,3
313,DONGMA VEHICLE (IMPORTER: MERCURY METALS),19,19
314,DOOSAN BOBCAT INDIA PVT LTD,573,573
315,DOZCO (INDIA) PVT LTD,1,1
316,DSF INDUSTRIES PVT LTD,5,5
317,DSR EV MOBILITY PVT LTD,56,56
318,DUCATI INDIA PVT LTD,356,356
319,DUKE AUTO INDIA,863,863
320,DULEVO INDIA PVT LTD,23,23
321,"DURGA AGRO ENGG,BALASORE",3,3
322,DURGA AGRO WORKS,6,6
323,DURGA AND DURGA ENG WORKS GANJAM HALADIAPADAR,4,4
324,"DURGA&DURGA ENGG WORKS,BHMPUR",9,9
325,"DURGA & DURGA ENG WORKS, HALADIAPADAR, GANJAM",2,2
326,DURGA ENGINEERING BHADRAK CHARAMPA,2,2
327,DURGA ENGINEERING WORKS,6,6
328,DURGA FILTERS PVT LTD,7,7
329,DYNAPAC ROAD CONSTRUCTION EQUIPMENT INDIA PVT LTD,132,132
330,DYNAVOLT TECHNOLOGY INDIA LTD,1,1
331,DYS IMPEX PRIVATE LIMITED,939,939
332,EARTH MOBILITY,1,1
333,E-ASHWA AUTOMOTIVE PVT LTD,68,68
334,EBUZZ MOBILITY LLP,28,28
335,ECOBIT INTERNATIONAL(IMPORTER: JHEV MOTORS),44,44
336,ECO DYNAAMIC EQUIPMENTS,93,93
337,ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,408,408
338,ECO FUEL SYSTEMS (I) PVT LTD,185,185
339,ECO SMART VEHICLES PVT LTD,"1,106","1,106"
340,EDMRC MANNSCHAFT LLP,22,22
341,EEVEE ENGINEERING PVT LTD,2,2
342,EFEV CHARGING SOLUTION PVT LTD,694,694
343,E-GURU AUTO ENERGY,224,224
344,EICHER MOTORS LTD,10,10
345,EICHER TRACTORS,"57,227","57,227"
346,EIMCO ELECON,14,14
347,ELECTRA INTERNATIONAL,97,97
348,ELECTRECA VEHICLES,5,5
349,ELECTRIC ALLIANCE(IMPORTER: ELLYSIUM AUTOMOTIVES),21,21
350,ELECTRO ARO AUTOMOTIVE PVT LTD,8,8
351,ELECTRODRIVE VEHICLES PVT LTD,84,84
352,ELECTROTECH TRANSMISSION PVT LTD,2,2
353,ELECTROTHERM (INDIA) LIMITED,1,1
354,ELEGO MOTORS PVT LTD,35,35
355,ELEPHANTA INDUSTRIES PVT LTD,17,17
356,ELITE AUTO ENGINEERS PVT LTD,"1,212","1,212"
357,ELSA CONCRETING MACHINERY INDIA PVT LTD,20,20
358,ELTHOR ENERGY PRIVATE LIMITED,210,210
359,E-MOTION AUTOMOTIVE INDUSTRY LLP,451,451
360,ENABLING E-VEHICLE PVT LTD,230,230
361,ENERGY ELECTRIC VEHICLES,"13,362","13,362"
362,ENGINIA VEHICLES PVT LTD,819,819
363,ENGTIAN ELECTRIC BIKE PVT LTD,441,441
364,ENIGMA AUTOMOBILES PVT LTD,12,12
365,ENTICE IMPEX PVT LTD,"1,029","1,029"
366,ENVISION ELECTRIC VEHICLES PVT LTD,4,4
367,EPOWER VEHICLES PVT LTD,12,12
368,ERISHA E MOBILITY PVT LTD,42,42
369,E ROYCE MOTORS INDIA PVT LTD,"1,184","1,184"
370,ESCORTS CONSTRUCTION EQUIPMENT LTD,25,25
371,ESCORTS KUBOTA LIMITED (AGRI MACHINERY GROUP),"87,671","87,671"
372,ESCORTS KUBOTA LIMITED (CONSTRUCTION EQUIPMENT),"5,469","5,469"
373,ESCORTS R&D CENTRE,3,3
374,ESCORTS TRACTORS LTD,22,22
375,E-SPRINTO GREEN ENERGY PVT LTD,"1,409","1,409"
376,ESSAR ENGINEERING,15,15
377,ESSAR ENGINEERING MAYURBHANJ BARIPADA,12,12
378,ESSEL ENERGY INFRA PVT LTD,8,8
379,ETRIO AUTOMOBILES PVT LTD,3,3
380,EULER MOTORS PVT LTD,"3,305","3,305"
381,EVAGE AUTOMOTIVE PVT LTD,71,71
382,EVBHARAT RANGE PRIVATE LIMITED,89,89
383,EVCO AUTOMOBILES PVT LTD,"1,163","1,163"
384,EVEX AUTO INDIA PVT LTD,42,42
385,EVGREEN PVT LTD,10,10
386,EVOLUTION AUTOTECH,1,1
387,EVTRIC MOTORS PVT LTD,74,74
388,EXERVAL PVT LTD,14,14
389,EXIDE INDUSTRIES LTD,"2,039","2,039"
390,EXTRA FAST SOLUTIONS,733,733
391,EXTREME MOTORS,131,131
392,EYAMAUTO MOBILITY PVT LTD,1,1
393,EYUG AUTOMOBILE PVT LTD,54,54
394,FARMTECH AGRO INDUSTRIES,10,10
395,FCA INDIA AUTOMOBILES PRIVATE LIMITED,"4,447","4,447"
396,FEDE INDUSTRIES PVT LTD,"1,631","1,631"
397,FERRARI INDIA PRIVATE LIMITED,5,5
398,FERRARI SPA,7,7
399,FERRARI SPA (IMPORTER:NAVNIT MOTORS PVT LTD),14,14
400,FERRARI SPA (IMPORTER:SELECT CARS P LTD),13,13
401,FIADO INDUSTRIES PVT LTD,25,25
402,FIELDTRACK EARTHMOVERS PVT LTD,201,201
403,FINE EQUIPMENTS INDIA PVT LTD,6,6
404,FIORI CONCRETE MACHINES INDIA PVT LTD,45,45
405,FIRST CHOICE ELECTRIC VEHICLES PVT LTD,365,365
406,FITWEL MOBILITY PVT LTD,6,6
407,FIVE ELEMENTS,73,73
408,FIVE LASERCUT METAL TECHNOLOGY PVT LTD,2,2
409,FORCE MOTORS LIMITED,"29,107","29,107"
410,FORD INDIA PVT LTD,23,23
411,FORTUNE GLOBAL INDUSTRIES & SERVICES,2,2
412,FRN MOTORS PVT LTD,29,29
413,FSTMOTO (IMPORTER: AUTOICARE INNOVATION),11,11
414,FSTMOTO INTERNATIONAL (IMPORTER: TEDI (INDIA)),1,1
415,FUJIYAMA POWER INFRA PVT. LTD.,141,141
416,GAGAN AUTOMOTIVES,866,866
417,GAHIR AGRICULTURAL INDUSTRIES,34,34
418,GAHIR AGRO INDUSTRIES LIMITED,40,40
419,GALAXY ELECTRIC VEHICLES,2,2
420,GALVANIC AUTO PVT LTD,19,19
421,GAMZEN PLAST PVT LTD,52,52
422,GANESH AGRICULTURE WORKS,5,5
423,GANESH AGRO INDUSTRIES,82,82
424,GANGA IRON & STEELS,1,1
425,GARIMA INDUSTRIES,2,2
426,GATTWALD GERMANY,1,1
427,GAURA ELECTRIC VEHICLES PVT LTD,660,660
428,GAUTAM AGRO INDUSTRIES,3,3
429,GAYATRI AGRO INDUSTRIES,6,6
430,GAYATRI ELECTRIC VEHICLES PVT LTD,"2,190","2,190"
431,GENERAL MOTORS INDIA PVT LTD,8,8
432,G & G AUTOMOTIVE,904,904
433,GIAN AGRO INDUSTRIES,9,9
434,GILL AGRICULTURE WORKS,39,39
435,GILL AGROTECH,19,19
436,GILL MECHANICAL WORKS,3,3
437,GILLPREETAGRO INDUSTRIES,40,40
438,G.K E-VEHICLS INDUSTRIES PVT LTD,"1,096","1,096"
439,GKON ELECTRIC MOTOR VEHICLES PVT LTD,335,335
440,G.K. RICKSHAW PVT LTD,"4,072","4,072"
441,GLAZE EV LLP,233,233
442,G. M. VEHICLE INDUSTRIES,18,18
443,GOBIND AGRO INDUSTRIES,84,84
444,GOBIND INDUSTRIES PVT LTD,37,37
445,GOBIND MOTOR GARAGE,1,1
446,GODAWARI ELECTRIC MOTORS PVT LTD,"1,059","1,059"
447,GODAWARI TECHNO SOLUTIONS PVT LTD,68,68
448,GODREJ AND BOYCE MFG CO LTD,19,19
449,GODREJ & BOYCE MFG. CO. LTD,270,270
450,GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,29,29
451,GOGORO INDIA PVT LTD,105,105
452,GOLDEN ELECTRIC VEHICLES,83,83
453,GOLDENLION (IMPORTER:ELLYSIUM AUTOMOTIVES PVT LTD),1,1
454,GOLD HOFER,8,8
455,GOLDHOFER INDIA LLP,7,7
456,GOPAL AGRO AGENCY GANJAM HALADIAPADAR,2,2
457,"GOPAL AGRO AGENCY,HALADIAPADAR,BERHAMPUR,GANJAM",1,1
458,GOPAL AUTO MOTORS PVT LTD,"1,491","1,491"
459,GOPAL ENGG. WORKS,1,1
460,"GOPAL ENGINEERING, BALASORE",1,1
461,GOPINATH AGRO TRADE  RAYAGDA PADMAPUR,1,1
462,GOREEN E-MOBILITY PVT LTD,"1,082","1,082"
463,GOVIND MOTOR GARRAGE,1,1
464,GOYAL AGRO INDUSTRIES,2,2
465,GRD MOTORS,"3,824","3,824"
466,GREAVES ELECTRIC MOBILITY PVT LTD,"40,168","40,168"
467,GREENETICS INDUSTRIES PVT LTD,1,1
468,GREEN EVOLVE PVT LTD,321,321
469,GREENFIT INDUSTRIES LLP,471,471
470,GREEN IMPEX,624,624
471,GREEN SHUTTLE TECHNOLOGY PVT LTD,34,34
472,GREEN STAR MOTORS,175,175
473,GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,16,16
474,GREENTECH AUTO LLP,10,10
475,GREEN TECHNOLOGIES,730,730
476,GREEN VALLEY MOTORS,14,14
477,GREEN WAY ECO RIDE,1,1
478,GREENWHEELS AUTOMOBILE PVT LTD,816,816
479,GREEN WORLD MOTORS PVT LTD,2,2
480,GRINDIA G MOTORS PVT LTD,3,3
481,GROMAX AGRI EQUIPMENT LTD,"3,279","3,279"
482,GROVE INDIA PVT LTD,11,11
483,GSP POWER PROJECTS,1,1
484,GTP ELECTRIC VEHICLES PVT LTD,11,11
485,G.T TRADER,46,46
486,GUANGDONG TAYO (IMPORTER: ADISHWAR AUTO),123,123
487,GUANGXI MEIBAO(IMPORTER: DYNAMO ELECTRIC),19,19
488,GURDEEP ENGINEERING WORKS,33,33
489,GURJEET COMBINE,1,1
490,GURM AGRICULTURE WORKS,12,12
491,GURMUKH AGRO INDUSTRIES,42,42
492,GURUKRAPA ENGINEERING WORKS,6,6
493,GURUKRUPA WELDING WORKS,4,4
494,GURUMAN ENTERPRISES BHWPATNA,1,1
495,GURU NANAK AGRI ENGG WORKS,342,342
496,GURU NANAK AGRI WORKS,49,49
497,GURU NANAK AGRO INDUSTRIES,17,17
498,HAITEK AUTOMOTIVE PVT LTD,203,203
499,HAMM AG,32,32
500,HANUMAN AGRO INDUSTRIES,1,1
501,HANUMAN UDYOG,203,203
502,HARDEV AGRO TECH,5,5
503,HARJEET AGRO INDUSTRIES,67,67
504,HARLEY DAVIDSON (IMPORTER: HERO MOTOCORP),251,251
505,HARMEET AGRICULTURE WORKS,77,77
506,HARNISHA AUTO PVT LTD,1,1
507,HARSH TRADING CO,142,142
508,HARSHVIE INDUSTRIES PVT LTD,17,17
509,HARYANA MOTORS PVT LTD,71,71
510,HBSS E MOBILITY PVT LTD,32,32
511,HD HYUNDAI CONSTRUCTION EQUIPMENT INDIA PVT LTD,50,50
512,H-D MOTOR COMPANY INDIA PVT LTD,3,3
513,HEMAVATHI AGRO INDUSTRIES,11,11
514,HERO ELECTRIC VEHICLE PVT LTD,1,1
515,HERO ELECTRIC VEHICLES PVT. LTD,"2,054","2,054"
516,HERO HONDA MOTORS  LTD,59,59
517,HERO MOTOCORP LTD,"54,52,360","54,52,360"
518,HEXALL MOTORS PVT LTD,12,12
519,H H AGROTECH,1,1
520,HIGHWAY ENGINEERING WORKS CUTTACK JAGATPUR,9,9
521,HIGHWAY ENGING WORKS,3,3
522,HIMANI AGRO INDUSTRIES,31,31
523,HIM TEKNOFORGE LTD,486,486
524,HIND AGRO INDUSTRIES,61,61
