Maker Wise Financial Year Data  For All State (),,,
S No,                      Maker                       ,Financial Year ,     TOTAL     
,,,
,,2024-2025,
1,3EV INDUSTRIES PVT LTD,220,220
2,3S INDUSTRIES PRIVATE LIMITED,"1,386","1,386"
3,A1 HEAVY EQUIPMENTS DEVELOPER,14,14
4,A-1 SUREJA INDUSTRIES,8,8
5,AADHYA ENTERPRISES,502,502
6,AADITYA GARBAGE PRODUCTS PVT LTD,2,2
7,AAHANA COMMERCE PVT LTD,"3,705","3,705"
8,AAKK AUTO PVT LTD,82,82
9,AARGEE ELECTRIC,10,10
10,AARON INDUSTRIES,32,32
11,A.B. AGRO ENGINEERING WORKS,17,17
12,A.B. AGRO ENGINEERING WORKS&ENTERPRISESAP11815428,7,7
13,ABZO MOTORS PVT LTD,61,61
14,ACCPL INFRA FABTECH PVT LTD,1,1
15,ACCRETION POWER AUTOS,475,475
16,ACTION CONSTRUCTION EQUIPMENT LTD.,"11,204","11,204"
17,A D AGRO WORKS,108,108
18,ADAPT MOTORS PVT LTD,1,1
19,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,"2,016","2,016"
20,ADIDEV TECHNOA PVT LTD,"1,675","1,675"
21,ADISHAKTI TRACTORS,2,2
22,ADISHWAR AUTO RIDE INDIA PVT LTD,209,209
23,ADITYA AGRO INDUSTRIES,46,46
24,ADITYA SAI INDUSTRIES,167,167
25,ADM TECHNOLOGIES PVT. LTD.,327,327
26,ADRIS ELECTRIC PVT LTD,2,2
27,AERODRIVE PVT LTD,101,101
28,AEROEAGLE AUTOMOBILES PVT LTD,100,100
29,AFKON AUTOMOTIVES PVT LTD,322,322
30,AFTEK MOTORS INDIA PVT LTD,30,30
31,"AFZAL ENGG WORKS,JUNAGARH",3,3
32,AGP ENGINEERING PRODUCTS,1,1
33,AGRAWAL RENEWABLE ENERGY PVT LTD,4,4
34,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,132,132
35,AGRO INDUSTRIES,119,119
36,AGRO TRAILERS AP312870751,1,1
37,AHMED MOTORS,12,12
38,AJANTA KRUSHI YANTRA,83,83
39,AJAX ENGINEERING LTD,"4,975","4,975"
40,AJAX FIORI ENGINEERING PVT LTD,3,3
41,AJAY ENGG WORKS & EQUIP PLTD SAMBALPUR PARDHIAPALI,11,11
42,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,4,4
43,AJAY ENTERPRISES,7,7
